
Dunn Index
             comp        ave        cent
sin   0.001527923 0.00452777 0.006004541
comp  1.570207534 4.65307249 6.170712326
ave   1.003395706 2.97341139 3.943215225
cent  1.003395706 2.97341139 3.943215225
aveto 1.003395706 2.97341139 3.943215225
haus  1.001527923 2.96787649 3.935875080

Davies Index
              comp         ave        cent
sin   1026.6742034 280.0997062 212.3044864
comp     0.9990269   0.2725569   0.2065873
ave      1.5633709   0.4265226   0.3232872
cent     1.5633709   0.4265226   0.3232872
aveto    1.5633709   0.4265226   0.3232872
haus     1.5662864   0.4273180   0.3238901

Silhouette Coefficient
[1] 0.8531105
