
Dunn Index
              comp          ave        cent
sin   0.0003283542 0.0009496071 0.001254365
comp  0.4534887630 1.3114988750 1.732399316
ave   0.2724204724 0.7878456364 1.040689601
cent  0.2724204724 0.7878456364 1.040689601
aveto 0.2724204724 0.7878456364 1.040689601
haus  0.2768631409 0.8006939255 1.057661303

Davies Index
             comp         ave        cent
sin   788.1343793 206.4778142 150.7304747
comp    0.9949812   0.3282214   0.2463197
ave     2.1717302   0.6746833   0.5018764
cent    2.1717302   0.6746833   0.5018764
aveto   2.1717302   0.6746833   0.5018764
haus    2.2045219   0.6718021   0.5025145

Silhouette Coefficient
[1] 0.6814467
