
Dunn Index
              comp         ave        cent
sin   0.0002626715 0.000755312 0.001011138
comp  0.4332259991 1.245741415 1.667676870
ave   0.2599857958 0.747589189 1.000799349
cent  0.2599857958 0.747589189 1.000799349
aveto 0.2599857958 0.747589189 1.000799349
haus  0.2694847441 0.774903415 1.037364967

Davies Index
             comp         ave        cent
sin   596.4811635 174.8301976 130.3827091
comp    0.9960794   0.3250263   0.2449496
ave     2.1202007   0.6537913   0.4884273
cent    2.1202007   0.6537913   0.4884273
aveto   2.1202007   0.6537913   0.4884273
haus    2.1610854   0.6660893   0.4976484

Silhouette Coefficient
[1] 0.6855331
