
With 2 centroids
            comp         ave        cent
sin   730.506218 196.8419852 148.8025326
comp    0.998633   0.2690913   0.2034194
ave     1.533211   0.4131386   0.3123118
cent    1.533211   0.4131386   0.3123118
aveto   1.533211   0.4131386   0.3123118
haus    1.584806   0.4270413   0.3228215

With 3 centroids
             comp        ave       cent
sin   257.4307936 74.9108180 57.3956268
comp    0.9927994  0.3197469  0.2417261
ave     1.8103040  0.5901038  0.4457053
cent    1.8103040  0.5901038  0.4457053
aveto   1.8103040  0.5901038  0.4457053
haus    2.4346636  0.7330986  0.5591914

With 4 centroids
             comp         ave        cent
sin   2072.377772 533.1547922 420.8418924
comp     0.999101   0.2995572   0.2284654
ave      2.537983   0.7058910   0.5475492
cent     2.537983   0.7058910   0.5475492
aveto    2.537983   0.7058910   0.5475492
haus     1.698151   0.5195224   0.3946183

With 5 centroids
             comp         ave        cent
sin   888.1288844 223.6096274 163.3911539
comp    0.9984369   0.2994744   0.2238201
ave     2.2918792   0.6334552   0.4670420
cent    2.2918792   0.6334552   0.4670420
aveto   2.2918792   0.6334552   0.4670420
haus    2.0457967   0.6078294   0.4500560

With 6 centroids
              comp         ave        cent
sin   1413.0954748 318.8951890 231.1472278
comp     0.9895143   0.3062595   0.2316401
ave      2.1727439   0.6319287   0.4751233
cent     2.1727439   0.6319287   0.4751233
aveto    2.1727439   0.6319287   0.4751233
haus     2.6994435   0.7429918   0.5543036

With 7 centroids
            comp        ave       cent
sin   70.3334366 21.0397639 16.3929853
comp   0.9791349  0.3224455  0.2465284
ave    2.2501598  0.7092997  0.5497444
cent   2.2501598  0.7092997  0.5497444
aveto  2.2501598  0.7092997  0.5497444
haus   1.9293933  0.6252292  0.4804993

With 8 centroids
             comp         ave        cent
sin   830.6782606 258.0325337 192.5853145
comp    0.9977066   0.3192679   0.2381462
ave     2.2527288   0.6746305   0.4998994
cent    2.2527288   0.6746305   0.4998994
aveto   2.2527288   0.6746305   0.4998994
haus    2.4431231   0.7122666   0.5257941

With 9 centroids
             comp         ave        cent
sin   571.6338963 157.1857354 115.9021314
comp    0.9958919   0.3223655   0.2422245
ave     2.1543372   0.6574486   0.4897031
cent    2.1543372   0.6574486   0.4897031
aveto   2.1543372   0.6574486   0.4897031
haus    2.1733576   0.6632318   0.4940260

With 10 centroids
             comp        ave       cent
sin   225.2716053 73.8717147 55.4234476
comp    0.9910846  0.3297138  0.2478237
ave     2.2081065  0.6762473  0.5031101
cent    2.2081065  0.6762473  0.5031101
aveto   2.2081065  0.6762473  0.5031101
haus    2.4010567  0.7169926  0.5337719

With 11 centroids
             comp         ave       cent
sin   354.9807176 106.1628390 79.9460905
comp    0.9911745   0.3258968  0.2441428
ave     2.0601652   0.6448460  0.4826642
cent    2.0601652   0.6448460  0.4826642
aveto   2.0601652   0.6448460  0.4826642
haus    2.1842437   0.7005181  0.5247215

With 12 centroids
             comp         ave        cent
sin   618.1386484 183.8775071 136.4686172
comp    0.9920485   0.3268253   0.2441431
ave     2.1071034   0.6540534   0.4863933
cent    2.1071034   0.6540534   0.4863933
aveto   2.1071034   0.6540534   0.4863933
haus    2.1382733   0.6631653   0.4930433
