
Dunn Index
             comp         ave        cent
sin   0.002174179 0.006529468 0.008674054
comp  1.590425659 4.776346698 6.345124638
ave   1.035898762 3.110998370 4.132797230
cent  1.035898762 3.110998370 4.132797230
aveto 1.035898762 3.110998370 4.132797230
haus  1.002174179 3.009717119 3.998250431

Davies Index
            comp         ave        cent
sin   730.506218 196.8419852 148.8025326
comp    0.998633   0.2690913   0.2034194
ave     1.533211   0.4131386   0.3123118
cent    1.533211   0.4131386   0.3123118
aveto   1.533211   0.4131386   0.3123118
haus    1.584806   0.4270413   0.3228215

Silhouette Coefficient
[1] 0.8560413
