
With 2 centroids
             comp          ave        cent
sin   0.000259467 0.0007738856 0.001032207
comp  1.572130903 4.6890334817 6.254222241
ave   1.003935437 2.9943351847 3.993837489
cent  1.003935437 2.9943351847 3.993837489
aveto 1.003935437 2.9943351847 3.993837489
haus  0.572130903 1.7064361221 2.276040636

With 3 centroids
             comp         ave        cent
sin   0.002540796 0.007416602 0.009854956
comp  1.543305279 4.504920308 5.986001392
ave   0.965993711 2.819743277 3.746789294
cent  0.965993711 2.819743277 3.746789294
aveto 0.965993711 2.819743277 3.746789294
haus  0.566195608 1.652729454 2.196096743

With 4 centroids
              comp          ave         cent
sin   0.0001235243 0.0003636227 0.0004853949
comp  0.7872898610 2.3175728672 3.0936954608
ave   0.2557851531 0.7529637557 1.0051207391
cent  0.2557851531 0.7529637557 1.0051207391
aveto 0.2557851531 0.7529637557 1.0051207391
haus  0.1667943140 0.4909982913 0.6554267210

With 5 centroids
              comp        ave        cent
sin   0.0002944554 0.00086707 0.001158356
comp  0.8052725778 2.37125133 3.167856873
ave   0.2717855926 0.80031528 1.069175682
cent  0.2717855926 0.80031528 1.069175682
aveto 0.2717855926 0.80031528 1.069175682
haus  0.6324882426 1.86246077 2.488141633

With 6 centroids
              comp          ave         cent
sin   0.0001927037 0.0005862997 0.0007721472
comp  0.8863374582 2.6966756174 3.5514778020
ave   0.3258988059 0.9915448743 1.3058484261
cent  0.3258988059 0.9915448743 1.3058484261
aveto 0.3258988059 0.9915448743 1.3058484261
haus  0.6804859156 2.0703737156 2.7266484131

With 7 centroids
             comp        ave       cent
sin   0.006308359 0.01782478 0.02302938
comp  0.423564202 1.19681483 1.54626909
ave   0.261651861 0.73931845 0.95518975
cent  0.261651861 0.73931845 0.95518975
aveto 0.261651861 0.73931845 0.95518975
haus  0.164898157 0.46593305 0.60197940

With 8 centroids
              comp         ave        cent
sin   0.0004622245 0.001349832 0.001773697
comp  0.4229161350 1.235040413 1.622858557
ave   0.2578284600 0.752935491 0.989366657
cent  0.2578284600 0.752935491 0.989366657
aveto 0.2578284600 0.752935491 0.989366657
haus  0.1650432135 0.481975081 0.633321288

With 9 centroids
              comp          ave         cent
sin   0.0002460365 0.0007184731 0.0009545259
comp  0.4481989593 1.3088258587 1.7388378281
ave   0.2740739642 0.8003478904 1.0633004982
cent  0.2740739642 0.8003478904 1.0633004982
aveto 0.2740739642 0.8003478904 1.0633004982
haus  0.2752204217 0.8036957635 1.0677483078

With 10 centroids
              comp          ave         cent
sin   0.0001145923 0.0003346313 0.0004445737
comp  0.3790728268 1.1069644581 1.4706552910
ave   0.2311920804 0.6751246670 0.8969354494
cent  0.2311920804 0.6751246670 0.8969354494
aveto 0.2311920804 0.6751246670 0.8969354494
haus  0.2321370794 0.6778842431 0.9006016783

With 11 centroids
              comp          ave         cent
sin   0.0002435268 0.0006945312 0.0009244523
comp  0.3202488830 0.9133403680 1.2156971816
ave   0.1880660088 0.5363587096 0.7139176090
cent  0.1880660088 0.5363587096 0.7139176090
aveto 0.1880660088 0.5363587096 0.7139176090
haus  0.1285086726 0.3665029437 0.4878319314

With 12 centroids
              comp         ave        cent
sin   0.0009748009 0.002780103 0.003700443
comp  0.2702690034 0.770799226 1.025968499
ave   0.1513606521 0.431676115 0.574580359
cent  0.1513606521 0.431676115 0.574580359
aveto 0.1513606521 0.431676115 0.574580359
haus  0.1120217024 0.319482591 0.425245723
