
With 2 centroids
             comp         ave        cent
sin   618.5365228 169.4622852 128.8145163
comp    0.9983859   0.2735307   0.2079208
ave     1.5507671   0.4248683   0.3229580
cent    1.5507671   0.4248683   0.3229580
aveto   1.5507671   0.4248683   0.3229580
haus    1.5715256   0.4305555   0.3272811

With 3 centroids
              comp         ave        cent
sin   1036.3078146 292.9650195 221.1097257
comp     0.9988791   0.3109911   0.2329528
ave      1.8345156   0.5763118   0.4314191
cent     1.8345156   0.5763118   0.4314191
aveto    1.8345156   0.5763118   0.4314191
haus     1.8772846   0.5905297   0.4420192

With 4 centroids
             comp         ave        cent
sin   519.4892834 161.3425415 121.2731691
comp    0.9974476   0.2945265   0.2235657
ave     2.5275074   0.6964356   0.5378792
cent    2.5275074   0.6964356   0.5378792
aveto   2.5275074   0.6964356   0.5378792
haus    2.1574311   0.6489054   0.4900221

With 5 centroids
              comp         ave        cent
sin   1328.8546023 297.2271997 215.3821249
comp     0.9981397   0.2964607   0.2211190
ave      2.4096279   0.6474639   0.4769062
cent     2.4096279   0.6474639   0.4769062
aveto    2.4096279   0.6474639   0.4769062
haus     3.1813849   0.7870588   0.5749997

With 6 centroids
              comp         ave        cent
sin   1309.9571010 286.0691568 206.3109283
comp     0.9845232   0.3038715   0.2305947
ave      2.2123323   0.6394473   0.4813463
cent     2.2123323   0.6394473   0.4813463
aveto    2.2123323   0.6394473   0.4813463
haus     1.7880808   0.5625634   0.4280568

With 7 centroids
            comp        ave       cent
sin   71.4087038 21.1955916 16.5166618
comp   0.9792341  0.3179919  0.2430239
ave    2.2684204  0.7061187  0.5474499
cent   2.2684204  0.7061187  0.5474499
aveto  2.2684204  0.7061187  0.5474499
haus   2.2943842  0.7032534  0.5470627

With 8 centroids
             comp         ave        cent
sin   503.7594376 154.5570057 114.8428601
comp    0.9971249   0.3205808   0.2381500
ave     2.2644796   0.6793731   0.5015982
cent    2.2644796   0.6793731   0.5015982
aveto   2.2644796   0.6793731   0.5015982
haus    2.2975434   0.6792398   0.5009449

With 9 centroids
              comp         ave        cent
sin   1148.7743315 321.6705833 238.2082400
comp     0.9947155   0.3277260   0.2469646
ave      2.1285440   0.6608334   0.4928014
cent     2.1285440   0.6608334   0.4928014
aveto    2.1285440   0.6608334   0.4928014
haus     2.1374689   0.6662439   0.4969289

With 10 centroids
             comp         ave       cent
sin   459.7907199 132.6702283 99.4225872
comp    0.9928391   0.3294483  0.2474347
ave     2.2563938   0.6892958  0.5153713
cent    2.2563938   0.6892958  0.5153713
aveto   2.2563938   0.6892958  0.5153713
haus    2.0290927   0.6658366  0.5000536

With 11 centroids
             comp        ave       cent
sin   206.1683446 61.2845067 45.8787545
comp    0.9922535  0.3309606  0.2498202
ave     2.1454255  0.6623847  0.4951434
cent    2.1454255  0.6623847  0.4951434
aveto   2.1454255  0.6623847  0.4951434
haus    2.0410095  0.6712580  0.5059207

With 12 centroids
             comp         ave        cent
sin   671.9484910 202.4503594 151.3939452
comp    0.9884225   0.3177504   0.2368874
ave     2.0416454   0.6282885   0.4674170
cent    2.0416454   0.6282885   0.4674170
aveto   2.0416454   0.6282885   0.4674170
haus    1.9313445   0.6239615   0.4648294
