
Dunn Index
              comp        ave        cent
sin   0.0006947051 0.00199664 0.002647276
comp  0.3411271408 0.98042773 1.299915136
ave   0.2055346408 0.59072362 0.783219975
cent  0.2055346408 0.59072362 0.783219975
aveto 0.2055346408 0.59072362 0.783219975
haus  0.1442922117 0.41470780 0.549846693

Davies Index
             comp         ave       cent
sin   459.7907199 132.6702283 99.4225872
comp    0.9928391   0.3294483  0.2474347
ave     2.2563938   0.6892958  0.5153713
cent    2.2563938   0.6892958  0.5153713
aveto   2.2563938   0.6892958  0.5153713
haus    2.0290927   0.6658366  0.5000536

Silhouette Coefficient
[1] 0.6603554
