
Dunn Index
             comp         ave       cent
sin   0.002506024 0.007802125 0.01045562
comp  0.797694865 2.483501743 3.32813787
ave   0.257270009 0.800971078 1.07338043
cent  0.257270009 0.800971078 1.07338043
aveto 0.257270009 0.800971078 1.07338043
haus  0.632614664 1.969549624 2.63939122

Davies Index
             comp         ave        cent
sin   519.4892834 161.3425415 121.2731691
comp    0.9974476   0.2945265   0.2235657
ave     2.5275074   0.6964356   0.5378792
cent    2.5275074   0.6964356   0.5378792
aveto   2.5275074   0.6964356   0.5378792
haus    2.1574311   0.6489054   0.4900221

Silhouette Coefficient
[1] 0.6700037
