
Dunn Index
              comp         ave       cent
sin   0.0002491072 0.000767255 0.00100031
comp  0.9384624823 2.890482434 3.76846971
ave   0.3449440135 1.062434173 1.38514974
cent  0.3449440135 1.062434173 1.38514974
aveto 0.3449440135 1.062434173 1.38514974
haus  0.7201144336 2.217966259 2.89167599

Davies Index
              comp         ave        cent
sin   1309.9571010 286.0691568 206.3109283
comp     0.9845232   0.3038715   0.2305947
ave      2.2123323   0.6394473   0.4813463
cent     2.2123323   0.6394473   0.4813463
aveto    2.2123323   0.6394473   0.4813463
haus     1.7880808   0.5625634   0.4280568

Silhouette Coefficient
[1] 0.6933056
